"season_id","player_id","position","season_coverage_grade","snap_count"
"2019","10695","S","47.7",136
"2019","10696","CB","80.6",129
"2019","10698","S","63.7",122
"2019","10658","CB","54.7",94
"2019","10702","S","48.7",24
"2019","10659","CB","78.1",2
"2019","10752","S","71.1",37
"2019","10732","S","74.7",85
"2019","10740","CB","61.5",60
"2019","10705","S","60.7",49
"2019","10711","CB","51.5",112
"2019","10718","CB","69.8",113
"2019","10758","S","70.6",15
"2019","10838","S","60.3",2
"2019","10801","S","66.3",30
"2019","10823","CB","65.6",113
"2019","10791","CB","60",1
"2019","10843","CB","63.1",31
"2019","10846","S","66.6",12
"2019","10878","CB","78.5",71
"2019","10879","S","65.7",14
"2019","10853","S","55.4",69
"2019","10898","CB","50.7",58
"2019","10902","S","74",125
"2019","11052","CB","84.6",105
"2019","11353","CB","37.5",24
"2019","11217","CB","86",105
"2019","11358","CB","40.6",22
"2019","11779","CB","53.7",100
"2019","11766","CB","59",139
"2019","11770","S","76",102
"2019","11771","CB","65.8",114
"2019","11773","CB","65.1",110
"2019","11794","S","72",137
"2019","11797","S","74.5",138
"2019","11798","CB","63.1",76
"2019","11801","CB","54.4",46
"2019","11418","CB","60.8",30
"2019","11761","S","90.2",117
"2019","11815","CB","59",137
"2019","11780","S","51.3",108
"2019","11821","CB","79.3",122
"2019","11782","CB","65.2",135
"2019","11788","CB","60",109
"2019","11791","S","71.2",123
"2019","11878","S","67.1",108
"2019","11866","S","27.6",59
"2019","11867","S","76.1",140
"2019","11868","S","58.6",104
"2019","11836","CB","62",38
"2019","11845","CB","75",132
"2019","11846","CB","74.8",53
"2019","11847","S","68.6",130
"2019","11849","S","67.7",72
"2019","11850","CB","74.8",35
"2019","11854","CB","61.2",97
"2019","11941","S","68.9",17
"2019","11904","CB","48",72
"2019","11906","CB","59.9",77
"2019","11913","CB","59.9",88
"2019","11920","CB","52",15
"2019","11962","S","48.6",18
"2019","11946","S","61.3",93
"2019","12259","CB","31.9",55
"2019","12224","CB","37.1",3
"2019","12040","CB","63.2",3
"2019","24750","S","60.6",50
"2019","12955","CB","66.1",4
"2019","25444","S","62.9",14
"2019","25445","CB","66.2",137
"2019","25546","S","60",1
"2019","26940","CB","65",13
"2019","25891","CB","41",5
"2019","27130","CB","57.4",49
"2019","34057","CB","35.8",28
"2019","28704","CB","57.6",93
"2019","28854","S","60.6",2
"2019","31342","S","60",1
"2019","33356","CB","28",99
"2019","33880","S","60",1
"2019","34105","CB","43.2",8
"2019","34222","CB","57.1",25
"2019","34247","S","75.2",122
"2019","35978","CB","30.4",50
"2019","35978","S","30.4",50
"2019","34646","S","46.2",26
"2019","41968","CB","47.3",42
"2019","42781","CB","44.9",87
"2019","49355","CB","49.1",64
"2019","43034","CB","64.7",134
"2019","43254","CB","75.2",57
"2019","44027","CB","62.1",127
"2019","49048","S","61.8",127
"2019","49059","CB","41.1",131
"2019","49154","S","44.3",9
"2019","49162","S","33.4",97
"2019","49178","S","54.5",130
"2019","49558","CB","42.3",70
"2019","49564","CB","62.9",84
"2019","49569","CB","62.7",4
"2019","49196","S","53.8",128
"2019","49206","S","47.6",119
"2019","49255","CB","46.1",19
"2019","49268","S","61.4",4
"2019","49335","CB","53.1",138
"2019","49339","CB","72.6",77
"2019","49350","CB","90.7",132
"2019","49352","CB","61.5",20
"2019","49354","CB","60",1
"2019","49368","CB","50.5",22
"2019","49371","S","61.3",5
"2019","49377","CB","73.8",130
"2019","49394","CB","36.3",6
"2019","49397","CB","59.1",100
"2019","49454","CB","65",5
"2019","49507","CB","87.2",17
"2019","49511","CB","65.2",21
"2019","50353","CB","45",9
"2019","50458","S","61.4",5
"2019","50473","CB","49",85
"2019","50535","CB","54.7",23
"2019","50543","CB","55.5",102
"2019","50564","CB","50.9",103
"2019","50365","CB","43",104
"2019","50380","CB","38.6",37
"2019","50393","CB","62.6",110
"2019","50417","S","64.7",13
"2019","50426","S","66.7",133
"2019","50430","CB","66.3",36
"2019","51378","S","59.8",51
"2019","51172","S","67.4",93
"2019","51206","S","45.9",87
"2019","51220","S","66.2",38
"2019","51241","S","67.7",6
"2019","51391","S","64.2",8
"2019","51266","S","75.6",150
"2019","51282","S","55.1",98
"2019","51304","S","69.6",46
"2019","51405","S","39.1",43
"2019","51315","S","60",1
"2019","51334","S","50.4",118
"2019","51336","S","65.3",50
"2019","51576","CB","60",1
"2019","55615","CB","37.6",89
"2019","56167","CB","28.7",6
"2019","51596","CB","63.9",103
"2019","4334","CB","61.2",170
"2019","56263","S","63",4
"2019","2969","CB","58.6",180
"2019","3152","S","53.1",149
"2019","83833","CB","44.1",2
"2019","3558","CB","75.9",122
"2019","3653","S","74.6",141
"2019","4330","CB","41.5",33
"2019","5532","CB","60.3",168
"2019","5539","S","73.5",157
"2019","5667","CB","64",6
"2019","5686","S","58.2",41
"2019","4937","S","63.5",176
"2019","4957","S","62.7",132
"2019","5127","CB","80.5",151
"2019","5545","S","70.9",81
